,Date,GDP (£ m),CPI,Bank Rate,Gross Fixed Capital Formation (Investments)
0,2000 Q1,401242,1.1,5.875,69114.0
1,2000 Q2,404196,1.0,6.0,73074.0
2,2000 Q3,406795,1.2,6.0,68011.0
3,2000 Q4,409411,1.4,6.0,70115.0
4,2001 Q1,413054,1.3,5.75,70186.0
5,2001 Q2,414878,1.8,5.375,72760.0
6,2001 Q3,417085,1.8,4.875,72699.0
7,2001 Q4,418445,1.4,4.25,70239.0
8,2002 Q1,419534,1.7,3.75,70130.0
9,2002 Q2,421587,1.3,3.5,70128.0
10,2002 Q3,424425,1.3,3.5,73834.0
11,2002 Q4,427725,1.6,3.75,77492.0
12,2003 Q1,430832,1.5,4.0,77778.0
13,2003 Q2,434837,1.3,4.0,72951.0
14,2003 Q3,438710,1.4,4.0,74012.0
15,2003 Q4,442172,1.3,3.75,74176.0
16,2004 Q1,443853,1.3,4.0,76337.0
17,2004 Q2,446443,1.3,4.375,75848.0
18,2004 Q3,448171,1.3,4.75,77191.0
19,2004 Q4,450464,1.5,4.75,77494.0
20,2005 Q1,453784,1.8,4.75,78969.0
21,2005 Q2,457557,1.9,4.75,80832.0
22,2005 Q3,461135,2.4,4.5,80052.0
23,2005 Q4,465451,2.2,4.5,79646.0
24,2006 Q1,467840,2.1,4.5,80595.0
25,2006 Q2,469655,2.4,4.5,80940.0
26,2006 Q3,470918,2.5,4.75,83735.0
27,2006 Q4,473372,2.7,5.0,83427.0
28,2007 Q1,477823,2.8,5.25,84438.0
29,2007 Q2,481314,2.6,5.5,86522.0
30,2007 Q3,484544,2.0,5.75,83075.0
31,2007 Q4,487413,2.3,5.5,88993.0
32,2008 Q1,489783,2.5,5.25,84847.0
33,2008 Q2,487386,3.3,5.0,85799.0
34,2008 Q3,479872,4.5,5.0,81323.0
35,2008 Q4,469694,3.7,3.166666,79978.0
36,2009 Q1,460105,2.9,1.0,75261.0
37,2009 Q2,458599,2.0,0.5,72063.0
38,2009 Q3,458875,1.4,0.5,72551.0
39,2009 Q4,460238,1.6,0.5,71335.0
40,2010 Q1,464543,2.4,0.5,75138.0
41,2010 Q2,469606,2.5,0.5,74022.0
42,2010 Q3,472199,2.3,0.5,76899.0
43,2010 Q4,472612,2.7,0.5,78973.0
44,2011 Q1,473819,3.5,0.5,75922.0
45,2011 Q2,474365,3.8,0.5,75107.0
46,2011 Q3,475813,4.0,0.5,76824.0
47,2011 Q4,476479,4.0,0.5,77501.0
48,2012 Q1,480632,3.1,0.5,78655.0
49,2012 Q2,479979,2.5,0.5,76645.0
50,2012 Q3,484579,2.2,0.5,75936.0
51,2012 Q4,484039,2.4,0.5,78986.0
52,2013 Q1,485409,2.5,0.5,76695.0
53,2013 Q2,488930,2.4,0.5,79896.0
54,2013 Q3,493002,2.4,0.5,81862.0
55,2013 Q4,496466,1.9,0.5,81850.0
56,2014 Q1,500552,1.6,0.5,84610.0
57,2014 Q2,504939,1.6,0.5,84341.0
58,2014 Q3,508741,1.5,0.5,85844.0
59,2014 Q4,512334,1.1,0.5,88045.0
60,2015 Q1,513850,0.4,0.5,91127.0
61,2015 Q2,516876,0.3,0.5,91529.0
62,2015 Q3,518915,0.4,0.5,90849.0
63,2015 Q4,521920,0.4,0.5,93835.0
64,2016 Q1,523813,0.7,0.5,94838.0
65,2016 Q2,526750,0.7,0.5,95631.0
66,2016 Q3,528712,1.0,0.25,98329.0
67,2016 Q4,532082,1.5,0.25,97427.0
68,2017 Q1,536566,2.2,0.25,99077.0
69,2017 Q2,540020,2.6,0.25,100304.0
70,2017 Q3,543452,2.7,0.25,99419.0
71,2017 Q4,547377,2.8,0.5,100952.0
72,2018 Q1,547688,2.5,0.5,100378.0
73,2018 Q2,548600,2.2,0.5,99211.0
74,2018 Q3,550425,2.3,0.75,99191.0
75,2018 Q4,551128,2.1,0.75,99058.0
76,2019 Q1,555141,1.8,0.75,102105.0
77,2019 Q2,556932,2.0,0.75,101275.0
78,2019 Q3,560987,1.8,0.75,102100.0
79,2019 Q4,560861,1.4,0.75,100943.0
80,2020 Q1,545597,1.7,0.175,97191.0
81,2020 Q2,434718,0.8,0.1,78563.0
82,2020 Q3,507643,0.8,0.1,90756.0
83,2020 Q4,514531,0.8,0.1,96147.0
84,2021 Q1,509261,0.9,0.1,93777.0
85,2021 Q2,546579,2.1,0.1,98872.0
86,2021 Q3,555956,2.7,0.1,98233.0
87,2021 Q4,564407,4.4,0.25,98770.0
88,2022 Q1,567396,5.5,0.625,103833.0
89,2022 Q2,567889,7.9,1.125,104294.0
90,2022 Q3,567445,8.7,2.0,106086.0
91,2022 Q4,568034,9.4,3.25,106689.0
92,2023 Q1,569336,9.0,4.125,109290.0
93,2023 Q2,569364,7.7,4.75,108245.0
94,2023 Q3,568655,6.3,5.25,106496.0
95,2023 Q4,566695,4.4,5.25,
